日期,代码,名称,买入价,卖出价,收益率%,推荐,评分,异动类型,板块,尾盘分,技术分,资金分,市场分,历史分
20260515,600699,,30.385,30.015,-1.2684,buy,32.19,breakout,电子元件,14.29,88.0,0.0,16.67,10.0
20260515,688229,,92.266,89.955,-2.5548,buy,31.14,rally,计算机设备,31.43,60.0,0.0,16.67,10.0
20260515,688103,,64.692,64.938,0.329,buy,26.79,rally,电子元件,14.29,68.0,0.0,16.67,10.0
20260518,688657,,36.408,36.472,0.1246,strong_buy,38.71,breakout,计算机设备,34.29,84.0,0.0,16.67,10.0
20260518,688118,,27.344,27.296,-0.2231,buy,34.37,breakout,计算机设备,22.86,84.0,0.0,16.67,10.0
20260518,300605,,12.846,12.774,-0.6168,buy,34.37,breakout,计算机设备,22.86,84.0,0.0,16.67,10.0
20260518,300597,,10.165,10.095,-0.7399,buy,33.27,breakout,通信设备,17.14,88.0,0.0,16.67,10.0
20260518,600699,,30.945,30.725,-0.7636,buy,32.21,rally,电子元件,22.86,76.0,0.0,16.67,10.0
